"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file","LMS service","Thu Mar 19 07:11:03 UTC 2026","passed","Thu Mar 19 07:11:03 UTC 2026","Create entity","Files","",""
"","12","Get exercise","LMS service","Thu Mar 19 07:11:02 UTC 2026","passed","Thu Mar 19 07:11:02 UTC 2026","Get entity","Exercises","",""
"","22","Create exercise","LMS service","Thu Mar 19 07:11:00 UTC 2026","passed","Thu Mar 19 07:11:00 UTC 2026","Create entity","Exercises","",""
"","521","Create user","LMS service","Thu Mar 19 07:11:06 UTC 2026","passed","Thu Mar 19 07:11:06 UTC 2026","Create entity","Users","",""
"","254","Create file with empty filename","LMS service","Thu Mar 19 07:11:04 UTC 2026","broken","Thu Mar 19 07:11:04 UTC 2026","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Thu Mar 19 07:11:05 UTC 2026","passed","Thu Mar 19 07:11:05 UTC 2026","Validate entity","Files","",""
"","30","Update course","LMS service","Thu Mar 19 07:10:59 UTC 2026","passed","Thu Mar 19 07:10:59 UTC 2026","Update entity","Courses","",""
"","26","Get courses","LMS service","Thu Mar 19 07:10:58 UTC 2026","passed","Thu Mar 19 07:10:58 UTC 2026","Get entities","Courses","",""
"","27","Create course","LMS service","Thu Mar 19 07:10:59 UTC 2026","passed","Thu Mar 19 07:10:59 UTC 2026","Create entity","Courses","",""
"","21","Delete exercise","LMS service","Thu Mar 19 07:11:02 UTC 2026","passed","Thu Mar 19 07:11:02 UTC 2026","Delete entity","Exercises","",""
"","20","Get exercises","LMS service","Thu Mar 19 07:11:03 UTC 2026","passed","Thu Mar 19 07:11:03 UTC 2026","Get entities","Exercises","",""
"","19","Delete file","LMS service","Thu Mar 19 07:11:06 UTC 2026","passed","Thu Mar 19 07:11:06 UTC 2026","Delete entity","Files","",""
"","13","Get file","LMS service","Thu Mar 19 07:11:04 UTC 2026","passed","Thu Mar 19 07:11:04 UTC 2026","Get entity","Files","",""
"","537","Create user","LMS service","Thu Mar 19 07:11:06 UTC 2026","passed","Thu Mar 19 07:11:07 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Thu Mar 19 07:11:07 UTC 2026","passed","Thu Mar 19 07:11:07 UTC 2026","Get entity","Users","",""
"","550","Login with correct email and password","LMS service","Thu Mar 19 07:10:57 UTC 2026","passed","Thu Mar 19 07:10:58 UTC 2026","Login","Authentication","",""
"","21","Update exercise","LMS service","Thu Mar 19 07:11:00 UTC 2026","passed","Thu Mar 19 07:11:00 UTC 2026","Update entity","Exercises","",""
"","535","Create user","LMS service","Thu Mar 19 07:11:05 UTC 2026","passed","Thu Mar 19 07:11:06 UTC 2026","Create entity","Users","",""
"","251","Create file with empty directory","LMS service","Thu Mar 19 07:11:05 UTC 2026","broken","Thu Mar 19 07:11:05 UTC 2026","Validate entity","Files","",""
